id,organization_id,accessibility,admin_emails,alternate_name,description,email,languages,latitude,longitude,name,short_desc,transportation,website,virtual
11,3,ramp,"","","Provides general reading materials, including large-type books, DVD's and CDs, books on CD and some Spanish language materials to children. Offers children's programs and a Summer Reading Club. Participates in the Peninsula Library System.",,"",37.466553,-122.2430898,Schaberg Branch,Provides general reading materials and reference services.,SAMTRANS stops within 1 block.,,false
12,3,"disabled_parking, elevator, ramp, restroom",ohana@gmail.com,"","Offers an intergenerational literacy program for youth and English-speaking adults seeking to improver literacy skills. Adult services include: adult one-to-one tutoring to improve basic skills in reading, writing and critical thinking; Families for Literacy (FFL), a home-based family literacy program for parents who want to be able to read to their young children; and small group/English as a Second Language (ESL). Youth services include: Youth Tutoring, Families in Partnership (FIP); Teen-to-Elementary Student Tutoring, Kids in Partnership (KIP); and computer-aided literacy. Redwood City Friends of Literacy is a fundraising board that helps to support and to fund Redwood City's Project Read. Call for more information about each service.",,"",37.4838423,-122.2273954,Project Read,Offers an intergenerational literacy program for adults and youth seeking to improver literacy skills.,SAMTRANS stops within 1 block.,,false
13,3,"","",,"Provides general reading materials, including large-type books, videos, music cassettes and CDs, and books on tape. Offers children's programs and a Summer Reading Club. Meeting room is available to nonprofit groups. Participates in the Peninsula Library System.",,,37.5304228,-122.2586432,Redwood Shores Branch,Provides general reading materials and reference services.,,,false
14,4,wheelchair,"",,"Provides food, clothing, bus tokens and shelter to individuals and families in times of crisis from the Redwood City Corps office and community centers throughout the county. Administers Project REACH (Relief for Energy Assistance through Community Help) funds to prevent energy shut-off through a one-time payment. Counseling and translation services (English/Spanish) are available either on a walk-in basis or by appointment. Rental assistance with available funds. Another office (described separately) is located at 409 South Spruce Avenue, South San Francisco (650-266-4591).",,Spanish,37.4913864,-122.2315683,Redwood City Corps,Provides a variety of emergency services to low-income persons. Also sponsors recreational and educational activities.,SAMTRANS stops nearby.,,false
15,4,wheelchair,"",,"Provides a long-term (6-12 month) residential rehabilitation program for men and women with substance abuse and other problems. Residents receive individual counseling, and drug and alcohol education. The spiritual side of recovery is addressed through chapel services and Bible study as well as 12-step programs. Nicotine cessation is a part of the program. Residents must be physically able to work, seeking treatment for substance abuse, sober long enough to pass urine drug screen before entering and agreeable to participating in weekly 12-step programs such as Alcoholics Anonymous or Narcotics Anonymous. Pinehurst Lodge is a separate facility for women only. Transition houses for men and women graduates also available.",,Spanish,37.7488993,-122.4203671,Adult Rehabilitation Center,Long-term (6-12 month) residential treatment program for men/women age 21-60.,"MUNI - 26 Valencia, Mission Street lines.",,false
16,4,"","",,"Provides emergency assistance including food and clothing for persons in immediate need. Provides PG&E assistance through REACH program. Youth programs offer tutoring, music and troops. Information on related resources is available. Also provides rental assistance when funds are available.",,Korean,37.3569004,-122.0600024,Sunnyvale Corps,Provides emergency assistance to persons in immediate need and offers after school activities and summer day camp program.,VTA stops within 4 blocks.,,false
17,4,wheelchair,"",,"Provides emergency food, clothing and furniture vouchers to low-income families in times of crisis. Administers Project REACH (Relief for Energy Assistance through Community Help) funds to prevent energy shut-off through a one-time payment. Offers a Saturday morning Homeless Feeding Program at 10:30, as well as Sunday services and spiritual counseling. Provides Christmas toys and Back-to-School clothes and supplies. Offers case management, advocacy and referrals to other agencies.",,,37.6445898,-122.4224905,South San Francisco Citadel Corps,Provides emergency food and clothing and furniture vouchers to low-income families in times of crisis.,"SAMTRANS stops within 1 block, BART stops within 3 blocks.",,false
18,5,"cd, restroom, wheelchair","","","Provides free medical care to those in need. Offers basic medical exams for adults and tuberculosis screening. Assists the individual to access other services in the community. By appointment only, Project Smile provides a free dental exam, dental cleaning and oral hygiene instruction for children, age 3-12, of Samaritan House clients.",,Spanish,37.468614,-122.2067982,Redwood City Free Medical Clinic,Provides free medical care to those in need.,SAMTRANS stops within 2 blocks.,http://www.samaritanhouse.com,false
19,5,"elevator, ramp, wheelchair","","",Provides free medical and dental care to those in need. Offers basic medical care for adults.,,Spanish,37.5326941,-122.2931236,San Mateo Free Medical Clinic,Provides free medical and dental care to those in need. Offers basic medical care for adults.,SAMTRANS stops within 1 block.,http://www.samaritanhouse.com,false
20,6,"","",,no phone,,,,,Location with no phone,no phone,,,true
21,7,"elevator, restroom","","",This is a description,,"",37.5291938,-122.2871612,Admin Test Location,This is a short description,SAMTRANS stops within 1/2 mile.,,false
22,8,"disabled_parking, restroom, wheelchair",foo@bar.com,The Test Spot,"[NOTE THIS IS NOT A REAL ORGANIZATION--THIS IS FOR TESTTING PURPOSES OF THIS ALPHA APP] Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent suscipit metus eu orci lobortis dictum. In hac habitasse platea dictumst. Vivamus vulputate, neque ut sodales gravida, lorem nunc pharetra ligula, ac cursus sem justo a sapien. Duis vitae vestibulum magna. Sed vel augue in justo rhoncus viverra. Nam ac felis a purus lobortis porttitor sit amet quis est. Suspendisse vulputate nisl quis nisi fermentum aliquet euismod at augue. Sed ultricies, purus dapibus tristique dictum, tortor mauris porttitor nulla, at porta nisl sem sed dolor. Proin ac hendrerit erat. Duis porta iaculis orci, eu euismod quam tristique in. Phasellus nec purus sit amet sapien volutpat egestas.",info@example.org,"Cantonese, Russian, Spanish, Tagalog, Taiwanese",37.7726402,-122.4099154,Example Location,[NOTE THIS IS NOT A REAL ENTRY--THIS IS FOR TESTING PURPOSES OF THIS ALPHA APP],SAMTRANS stops within 1 block,http://www.example.org,false
