id,location_id,program_id,accepted_payments,alternate_name,application_process,audience,description,eligibility,email,fees,funding_sources,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
11,11,,"",,Walk in. Proof of California residency required to receive a library card.,,"Provides general reading materials, including large-type books, DVD's and CDs, books on CD and some Spanish language materials to children. Offers children's programs and a Summer Reading Club. Participates in the Peninsula Library System.",Resident of California to obtain a library card for borrowing materials,,None.,City,,"EDUCATION SERVICES, Library, Libraries, Public Libraries","",Schaberg Branch,"",San Mateo County,active,No wait.,,""
12,12,,"",,"Walk in or apply by phone, email or webpage registration.","Adults, parents, children in 1st-12th grades in the Redwood City school districta","Offers an intergenerational literacy program for youth and English-speaking adults seeking to improver literacy skills. Adult services include: adult one-to-one tutoring to improve basic skills in reading, writing and critical thinking; Families for Literacy (FFL), a home-based family literacy program for parents who want to be able to read to their young children; and small group/English as a Second Language (ESL). Youth services include: Youth Tutoring, Families in Partnership (FIP); Teen-to-Elementary Student Tutoring, Kids in Partnership (KIP); and computer-aided literacy. Redwood City Friends of Literacy is a fundraising board that helps to support and to fund Redwood City's Project Read. Call for more information about each service.",English-speaking adult reading at or below 7th grade level or child in 1st-12th grade in the Redwood City school districts,,None.,"City, Donations, Federal, Grants, State",,"EDUCATION SERVICES, Adult, Alternative, Literacy, Literacy Programs, Libraries, Public Libraries, Youth","",Project Read,"",Daly City,active,Depends on availability of tutors for small groups and one-on-one.,,""
13,13,,"",,Walk in. Proof of California residency required to receive a library card.,,"Provides general reading materials, including large-type books, videos, music cassettes and CDs, and books on tape. Offers children's programs and a Summer Reading Club. Meeting room is available to nonprofit groups. Participates in the Peninsula Library System.",Resident of California to obtain a library card,,None.,City,,"EDUCATION SERVICES, Library, Libraries, Public Libraries","",Redwood Shores Branch,"",San Mateo County,active,No wait.,,""
14,14,,"",,Call for appointment. Referral from human service professional preferred for emergency assistance.,Individuals or families with low or no income and/or trying to obtain public assistance,"Provides food, clothing, bus tokens and shelter to individuals and families in times of crisis from the Redwood City Corps office and community centers throughout the county.","None for most services. For emergency assistance, must have low or no income and be willing to apply for public assistance",,None.,"Donations, Grants",,"COMMUNITY SERVICES, Interpretation/Translation, EMERGENCY SERVICES, Shelter/Refuge, FINANCIAL ASSISTANCE SERVICES, Utilities, MENTAL HEALTH SERVICES, Individual/Group Counseling, Food Pantries, Homeless Shelter, Rental Deposit Assistance, Utility Service Payment Assistance","",Redwood City Corps,"","Belmont, Burlingame, East Palo Alto",active,Up to 20 minutes.,,""
15,15,,"",,Walk in or through other agency referral.,Adult alcoholic/drug addictive men and women with social and spiritual problems,"Provides a long-term (6-12 month) residential rehabilitation program for men and women with substance abuse and other problems. Residents receive individual counseling, and drug and alcohol education. The spiritual side of recovery is addressed through chapel services and Bible study as well as 12-step programs. Nicotine cessation is a part of the program. Residents must be physically able to work, seeking treatment for substance abuse, sober long enough to pass urine drug screen before entering and agreeable to participating in weekly 12-step programs such as Alcoholics Anonymous or Narcotics Anonymous. Pinehurst Lodge is a separate facility for women only. Transition houses for men and women graduates also available.","Age 21-60, detoxed, physically able and willing to participate in a work therapy program",,None.,"Donations, Sales",,"ALCOHOLISM SERVICES, Residential Care, DRUG ABUSE SERVICES, Psychiatric Emergency","",Adult Rehabilitation Center,"","Alameda County, San Mateo County",active,Varies according to available beds for men and women. Women have a longer wait due to small number of beds statewide.,,""
16,16,,"",,"Walk in. Written application, identification required for emergency assistance.",,"Provides emergency assistance including food and clothing for persons in immediate need. Provides PG&E assistance through REACH program. Youth programs offer tutoring, music and troops. Information on related resources is available. Also provides rental assistance when funds are available.",None for emergency assistance,,None for emergency services. Vary for after school activities. Cash and checks accepted.,"Donations, Fees, Grants",,"COMMODITY SERVICES, Clothing/Personal Items, CHILD PROTECTION AND CARE SERVICES, Day Care, COMMUNITY SERVICES, Information and Referral, EMERGENCY SERVICES, Food Boxes/Food Vouchers, FINANCIAL ASSISTANCE SERVICES, Utilities, RECREATION/LEISURE SERVICES, Camping, Emergency Food, Clothing, Utility Assistance, Youth Development","",Sunnyvale Corps,"","",active,No wait.,,""
17,17,,"",,Call for information.,,"Provides emergency food, clothing and furniture vouchers to low-income families in times of crisis. Administers Project REACH (Relief for Energy Assistance through Community Help) funds to prevent energy shut-off through a one-time payment. Offers a Saturday morning Homeless Feeding Program at 10:30, as well as Sunday services and spiritual counseling. Provides Christmas toys and Back-to-School clothes and supplies. Offers case management, advocacy and referrals to other agencies.",Low-income families,,None.,Donations,,"COMMODITY SERVICES, Clothing/Personal Items, COMMUNITY SERVICES, Information and Referral, EMERGENCY SERVICES, Food Boxes/Food Vouchers, FINANCIAL ASSISTANCE SERVICES, Utilities, Emergency Food, Food Pantries, Furniture, Clothing, Utility Assistance, School Supplies, Case/Care Management, Holiday Programs, Pastoral Counseling, Low Income","",South San Francisco Citadel Corps,"","Colma, Daly City, South San Francisco",active,,,""
18,18,,"",,Call for screening appointment. Medical visits are by appointment only.,,"By appointment only, Project Smile provides a free dental exam, dental cleaning and oral hygiene instruction for children, age 3-12, of Samaritan House clients.",Low-income person without access to health care,,None.,"Donations, Grants",,"HEALTH SERVICES, Outpatient Care, Community Clinics","",Project Smile,"",East Palo Alto,active,Varies.,,""
19,19,,"",,Call for screening appointment (650-347-3648).,,"Provides free medical and dental care to those in need. Offers basic medical care for adults. Assists people with problems or questions relating to Medi-Cal, Healthy Families, Healthy Kids, and Medicare.",Low-income person without access to health care,,None.,"Donations, Grants",,"HEALTH SERVICES, Outpatient Care, Community Clinics, Medicare","",San Mateo Free Medical Clinic,"","Belmont, Burlingame",active,Varies.,,""
20,20,,"",,Walk in.,,no unrequired fields for this service,,,,"",,"","",Service with blank fields,"","",defunct,,,""
21,21,,"",,By phone during business hours.,,just a test service,,,,"",,"","",Service for Admin Test Location,"",San Mateo County,inactive,,,""
22,22,,"Cash, Check, Credit Card",Fotos para pasaportes,Walk in or apply by phone or mail,"Profit and nonprofit businesses, the public, military facilities, schools and government entities","[NOTE THIS IS NOT A REAL SERVICE--THIS IS FOR TESTING PURPOSES OF THIS ALPHA APP] Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent suscipit metus eu orci lobortis dictum. In hac habitasse platea dictumst. Vivamus vulputate, neque ut sodales gravida, lorem nunc pharetra ligula, ac cursus sem justo a sapien. Duis vitae vestibulum magna. Sed vel augue in justo rhoncus viverra. Nam ac felis a purus lobortis porttitor sit amet quis est. Suspendisse vulputate nisl quis nisi fermentum aliquet euismod at augue. Sed ultricies, purus dapibus tristique dictum, tortor mauris porttitor nulla, at porta nisl sem sed dolor. Proin ac hendrerit erat. Duis porta iaculis orci, eu euismod quam tristique in. Phasellus nec purus sit amet sapien volutpat egestas.",None,passports@example.org,"None, except for permits and photocopying. Cash, checks and credit cards accepted","City, County, Federal, State",We offer 3-way interpretation services over the phone via Propio Language Services (http://propio-ls.com).,"Salud, Medicina",Spanish,Passport Photos,Government-issued picture identification,"Alameda County, San Mateo County",active,No wait to 2 weeks.,http://www.example.com,"105, 108, 108-05, 108-05-01, 111, 111-05"
23,22,,"",,Walk in or apply by phone or mail,"Second service and nonprofit businesses, the public, military facilities, schools and government entities","[NOTE THIS IS NOT A REAL ORGANIZATION--THIS IS FOR TESTTING PURPOSES OF THIS ALPHA APP] Offers, by appointment, WIC (Women, Infants and Children) services, insurance enrollment, food stamps, CalWorks assistance, tax preparation and notary services. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent suscipit metus eu orci lobortis dictum. In hac habitasse platea dictumst. Vivamus vulputate, neque ut sodales gravida, lorem nunc pharetra ligula, ac cursus sem justo a sapien. Duis vitae vestibulum magna. Sed vel augue in justo rhoncus viverra. Nam ac felis a purus lobortis porttitor sit amet quis est. Suspendisse vulputate nisl quis nisi fermentum aliquet euismod at augue. Sed ultricies, purus dapibus tristique dictum, tortor mauris porttitor nulla, at porta nisl sem sed dolor. Proin ac hendrerit erat. Duis porta iaculis orci, eu euismod quam tristique in. Phasellus nec purus sit amet sapien volutpat egestas.",None,,"None, except for permits and photocopying. Cash, checks and credit cards accepted","City, County, Federal, State",,"Ruby on Rails/Postgres/Redis, testing, wic","",Example Service Name,"","San Mateo County, Alameda County",active,No wait to 2 weeks,http://www.example.com,""
