taxonomy_id,name,parent_id,parent_name
103,business_stages,,
103-01,Idea/Inception,103,business_stages
103-02,Proof of Concept/Prototype/Market Intro,103,business_stages
103-03,Rollout,103,business_stages
103-04,Growth/Expansion/Mature Business,103,business_stages
104,business_types,,
104-01,Startup or High-Growth Business,104,business_types
104-02,Main Street or Small Business,104,business_types
104-02,Microenterprise or Home Based Business,104,business_types
105,underserved_communities,,
105-01,African American,105,underserved_communities
105-02,Asian,105,underserved_communities
105-03,Hispanic,105,underserved_communities
105-04,Immigrant,105,underserved_communities
105-05,LGBTQ,105,underserved_communities
105-06,Native American,105,underserved_communities
105-07,Other,105,underserved_communities
105-08,Veteran,105,underserved_communities
105-09,Woman,105,underserved_communities
105-10,Ex-Convict,105,underserved_communities
105-11,NOT TARGETED,105,underserved_communities
